分拣中心,日期,小时,货量
SC1,2023-12-19,21,2715
SC1,2023-12-19,22,2999
SC1,2023-12-19,23,3079
SC1,2023-12-20,0,2893
SC1,2023-12-20,1,2910
SC1,2023-12-20,2,2820
SC1,2023-12-20,3,2841
SC1,2023-12-20,4,2679
SC1,2023-12-20,5,2079
SC1,2023-12-20,6,250
SC1,2023-12-20,7,1139
SC1,2023-12-20,8,1844
SC1,2023-12-20,9,1544
SC1,2023-12-20,10,1387
SC1,2023-12-20,11,1662
SC1,2023-12-20,12,2238
SC1,2023-12-20,13,2073
SC1,2023-12-20,14,296
SC1,2023-12-20,15,483
SC1,2023-12-20,16,894
SC1,2023-12-20,17,918
SC1,2023-12-20,18,1080
SC1,2023-12-20,19,1798
SC1,2023-12-20,20,2523
SC1,2023-12-20,21,2518
SC1,2023-12-20,22,2782
SC1,2023-12-20,23,2856
SC1,2023-12-21,0,2899
SC1,2023-12-21,1,2917
SC1,2023-12-21,2,2826
SC1,2023-12-21,3,2847
SC1,2023-12-21,4,2685
SC1,2023-12-21,5,2083
SC1,2023-12-21,6,251
SC1,2023-12-21,7,1142
SC1,2023-12-21,8,1848
SC1,2023-12-21,9,1547
SC1,2023-12-21,10,1390
SC1,2023-12-21,11,1666
SC1,2023-12-21,12,2243
SC1,2023-12-21,13,2078
SC1,2023-12-21,14,297
SC1,2023-12-21,15,484
SC1,2023-12-21,16,896
SC1,2023-12-21,17,920
SC1,2023-12-21,18,1083
SC1,2023-12-21,19,1802
SC1,2023-12-21,20,2529
SC1,2023-12-21,21,2524
SC1,2023-12-21,22,2788
SC1,2023-12-21,23,2862
SC1,2023-12-22,0,2983
SC1,2023-12-22,1,3001
SC1,2023-12-22,2,2908
SC1,2023-12-22,3,2929
SC1,2023-12-22,4,2763
SC1,2023-12-22,5,2144
SC1,2023-12-22,6,258
SC1,2023-12-22,7,1175
SC1,2023-12-22,8,1902
SC1,2023-12-22,9,1592
SC1,2023-12-22,10,1430
SC1,2023-12-22,11,1714
SC1,2023-12-22,12,2308
SC1,2023-12-22,13,2138
SC1,2023-12-22,14,305
SC1,2023-12-22,15,498
SC1,2023-12-22,16,922
SC1,2023-12-22,17,946
SC1,2023-12-22,18,1114
SC1,2023-12-22,19,1854
SC1,2023-12-22,20,2602
SC1,2023-12-22,21,2597
SC1,2023-12-22,22,2869
SC1,2023-12-22,23,2945
SC1,2023-12-23,0,2853
SC1,2023-12-23,1,2871
SC1,2023-12-23,2,2781
SC1,2023-12-23,3,2802
SC1,2023-12-23,4,2642
SC1,2023-12-23,5,2050
SC1,2023-12-23,6,247
SC1,2023-12-23,7,1124
SC1,2023-12-23,8,1819
SC1,2023-12-23,9,1523
SC1,2023-12-23,10,1368
SC1,2023-12-23,11,1640
SC1,2023-12-23,12,2207
SC1,2023-12-23,13,2045
SC1,2023-12-23,14,292
SC1,2023-12-23,15,476
SC1,2023-12-23,16,882
SC1,2023-12-23,17,905
SC1,2023-12-23,18,1066
SC1,2023-12-23,19,1774
SC1,2023-12-23,20,2489
SC1,2023-12-23,21,2484
SC1,2023-12-23,22,2744
SC1,2023-12-23,23,2817
SC1,2023-12-24,0,2835
SC1,2023-12-24,1,2853
SC1,2023-12-24,2,2764
SC1,2023-12-24,3,2784
SC1,2023-12-24,4,2626
SC1,2023-12-24,5,2038
SC1,2023-12-24,6,245
SC1,2023-12-24,7,1117
SC1,2023-12-24,8,1808
SC1,2023-12-24,9,1513
SC1,2023-12-24,10,1359
SC1,2023-12-24,11,1629
SC1,2023-12-24,12,2194
SC1,2023-12-24,13,2032
SC1,2023-12-24,14,290
SC1,2023-12-24,15,473
SC1,2023-12-24,16,877
SC1,2023-12-24,17,899
SC1,2023-12-24,18,1059
SC1,2023-12-24,19,1762
SC1,2023-12-24,20,2473
SC1,2023-12-24,21,2468
SC1,2023-12-24,22,2727
SC1,2023-12-24,23,2800
SC1,2023-12-25,0,2966
SC1,2023-12-25,1,2984
SC1,2023-12-25,2,2891
SC1,2023-12-25,3,2913
SC1,2023-12-25,4,2747
SC1,2023-12-25,5,2132
SC1,2023-12-25,6,256
SC1,2023-12-25,7,1168
SC1,2023-12-25,8,1891
SC1,2023-12-25,9,1583
SC1,2023-12-25,10,1422
SC1,2023-12-25,11,1705
SC1,2023-12-25,12,2295
SC1,2023-12-25,13,2126
SC1,2023-12-25,14,303
SC1,2023-12-25,15,495
SC1,2023-12-25,16,917
SC1,2023-12-25,17,941
SC1,2023-12-25,18,1108
SC1,2023-12-25,19,1844
SC1,2023-12-25,20,2587
SC1,2023-12-25,21,2582
SC1,2023-12-25,22,2853
SC1,2023-12-25,23,2929
SC1,2023-12-26,0,2934
SC1,2023-12-26,1,2952
SC1,2023-12-26,2,2860
SC1,2023-12-26,3,2882
SC1,2023-12-26,4,2718
SC1,2023-12-26,5,2109
SC1,2023-12-26,6,254
SC1,2023-12-26,7,1156
SC1,2023-12-26,8,1871
SC1,2023-12-26,9,1566
SC1,2023-12-26,10,1407
SC1,2023-12-26,11,1686
SC1,2023-12-26,12,2270
SC1,2023-12-26,13,2103
SC1,2023-12-26,14,300
SC1,2023-12-26,15,490
SC1,2023-12-26,16,907
SC1,2023-12-26,17,931
SC1,2023-12-26,18,1096
SC1,2023-12-26,19,1824
SC1,2023-12-26,20,2560
SC1,2023-12-26,21,2555
SC1,2023-12-26,22,2822
SC1,2023-12-26,23,2897
SC1,2023-12-27,0,2959
SC1,2023-12-27,1,2977
SC1,2023-12-27,2,2884
SC1,2023-12-27,3,2906
SC1,2023-12-27,4,2741
SC1,2023-12-27,5,2127
SC1,2023-12-27,6,256
SC1,2023-12-27,7,1165
SC1,2023-12-27,8,1886
SC1,2023-12-27,9,1579
SC1,2023-12-27,10,1418
SC1,2023-12-27,11,1700
SC1,2023-12-27,12,2289
SC1,2023-12-27,13,2121
SC1,2023-12-27,14,303
SC1,2023-12-27,15,494
SC1,2023-12-27,16,915
SC1,2023-12-27,17,939
SC1,2023-12-27,18,1105
SC1,2023-12-27,19,1839
SC1,2023-12-27,20,2581
SC1,2023-12-27,21,2576
SC1,2023-12-27,22,2846
SC1,2023-12-27,23,2922
SC1,2023-12-28,0,2960
SC1,2023-12-28,1,2979
SC1,2023-12-28,2,2886
SC1,2023-12-28,3,2907
SC1,2023-12-28,4,2742
SC1,2023-12-28,5,2128
SC1,2023-12-28,6,256
SC1,2023-12-28,7,1166
SC1,2023-12-28,8,1887
SC1,2023-12-28,9,1580
SC1,2023-12-28,10,1419
SC1,2023-12-28,11,1701
SC1,2023-12-28,12,2291
SC1,2023-12-28,13,2122
SC1,2023-12-28,14,303
SC1,2023-12-28,15,494
SC1,2023-12-28,16,915
SC1,2023-12-28,17,939
SC1,2023-12-28,18,1106
SC1,2023-12-28,19,1840
SC1,2023-12-28,20,2583
SC1,2023-12-28,21,2577
SC1,2023-12-28,22,2847
SC1,2023-12-28,23,2923
SC1,2023-12-29,0,2974
SC1,2023-12-29,1,2992
SC1,2023-12-29,2,2899
SC1,2023-12-29,3,2920
SC1,2023-12-29,4,2754
SC1,2023-12-29,5,2137
SC1,2023-12-29,6,257
SC1,2023-12-29,7,1171
SC1,2023-12-29,8,1896
SC1,2023-12-29,9,1587
SC1,2023-12-29,10,1426
SC1,2023-12-29,11,1709
SC1,2023-12-29,12,2301
SC1,2023-12-29,13,2132
SC1,2023-12-29,14,304
SC1,2023-12-29,15,497
SC1,2023-12-29,16,919
SC1,2023-12-29,17,943
SC1,2023-12-29,18,1111
SC1,2023-12-29,19,1848
SC1,2023-12-29,20,2594
SC1,2023-12-29,21,2589
SC1,2023-12-29,22,2860
SC1,2023-12-29,23,2936
SC1,2023-12-30,0,3107
SC1,2023-12-30,1,3126
SC1,2023-12-30,2,3029
SC1,2023-12-30,3,3051
SC1,2023-12-30,4,2878
SC1,2023-12-30,5,2233
SC1,2023-12-30,6,269
SC1,2023-12-30,7,1224
SC1,2023-12-30,8,1981
SC1,2023-12-30,9,1658
SC1,2023-12-30,10,1489
SC1,2023-12-30,11,1786
SC1,2023-12-30,12,2404
SC1,2023-12-30,13,2227
SC1,2023-12-30,14,318
SC1,2023-12-30,15,519
SC1,2023-12-30,16,961
SC1,2023-12-30,17,986
SC1,2023-12-30,18,1160
SC1,2023-12-30,19,1931
SC1,2023-12-30,20,2710
SC1,2023-12-30,21,2705
SC1,2023-12-30,22,2988
SC1,2023-12-30,23,3068
SC2,2023-12-1,0,152
SC2,2023-12-1,1,168
SC2,2023-12-1,2,172
SC2,2023-12-1,3,101
SC2,2023-12-1,4,78
SC2,2023-12-1,5,59
SC2,2023-12-1,6,43
SC2,2023-12-1,7,313
SC2,2023-12-1,8,416
SC2,2023-12-1,9,599
SC2,2023-12-1,10,507
SC2,2023-12-1,11,522
SC2,2023-12-1,12,491
SC2,2023-12-1,13,58
SC2,2023-12-1,14,665
SC2,2023-12-1,15,816
SC2,2023-12-1,16,812
SC2,2023-12-1,17,863
SC2,2023-12-1,18,693
SC2,2023-12-1,19,135
SC2,2023-12-1,20,572
SC2,2023-12-1,21,681
SC2,2023-12-1,22,745
SC2,2023-12-1,23,566
SC2,2023-12-2,0,195
SC2,2023-12-2,1,215
SC2,2023-12-2,2,221
SC2,2023-12-2,3,130
SC2,2023-12-2,4,99
SC2,2023-12-2,5,75
SC2,2023-12-2,6,56
SC2,2023-12-2,7,401
SC2,2023-12-2,8,534
SC2,2023-12-2,9,769
SC2,2023-12-2,10,651
SC2,2023-12-2,11,670
SC2,2023-12-2,12,630
SC2,2023-12-2,13,75
SC2,2023-12-2,14,853
SC2,2023-12-2,15,1047
SC2,2023-12-2,16,1042
SC2,2023-12-2,17,1107
SC2,2023-12-2,18,889
SC2,2023-12-2,19,174
SC2,2023-12-2,20,734
SC2,2023-12-2,21,874
SC2,2023-12-2,22,956
SC2,2023-12-2,23,727
SC2,2023-12-3,0,206
SC2,2023-12-3,1,228
SC2,2023-12-3,2,234
SC2,2023-12-3,3,137
SC2,2023-12-3,4,105
SC2,2023-12-3,5,80
SC2,2023-12-3,6,59
SC2,2023-12-3,7,425
SC2,2023-12-3,8,566
SC2,2023-12-3,9,815
SC2,2023-12-3,10,690
SC2,2023-12-3,11,710
SC2,2023-12-3,12,668
SC2,2023-12-3,13,79
SC2,2023-12-3,14,905
SC2,2023-12-3,15,1110
SC2,2023-12-3,16,1104
SC2,2023-12-3,17,1174
SC2,2023-12-3,18,943
SC2,2023-12-3,19,184
SC2,2023-12-3,20,778
SC2,2023-12-3,21,926
SC2,2023-12-3,22,1014
SC2,2023-12-3,23,770
SC2,2023-12-4,0,197
SC2,2023-12-4,1,218
SC2,2023-12-4,2,224
SC2,2023-12-4,3,131
SC2,2023-12-4,4,101
SC2,2023-12-4,5,76
SC2,2023-12-4,6,56
SC2,2023-12-4,7,406
SC2,2023-12-4,8,541
SC2,2023-12-4,9,778
SC2,2023-12-4,10,659
SC2,2023-12-4,11,678
SC2,2023-12-4,12,638
SC2,2023-12-4,13,76
SC2,2023-12-4,14,864
SC2,2023-12-4,15,1060
SC2,2023-12-4,16,1055
SC2,2023-12-4,17,1121
SC2,2023-12-4,18,901
SC2,2023-12-4,19,176
SC2,2023-12-4,20,743
SC2,2023-12-4,21,885
SC2,2023-12-4,22,968
SC2,2023-12-4,23,736
SC2,2023-12-5,0,192
SC2,2023-12-5,1,212
SC2,2023-12-5,2,218
SC2,2023-12-5,3,128
SC2,2023-12-5,4,98
SC2,2023-12-5,5,74
SC2,2023-12-5,6,55
SC2,2023-12-5,7,396
SC2,2023-12-5,8,527
SC2,2023-12-5,9,759
SC2,2023-12-5,10,642
SC2,2023-12-5,11,661
SC2,2023-12-5,12,622
SC2,2023-12-5,13,74
SC2,2023-12-5,14,842
SC2,2023-12-5,15,1033
SC2,2023-12-5,16,1028
SC2,2023-12-5,17,1093
SC2,2023-12-5,18,878
SC2,2023-12-5,19,171
SC2,2023-12-5,20,724
SC2,2023-12-5,21,862
SC2,2023-12-5,22,944
SC2,2023-12-5,23,717
SC2,2023-12-6,0,183
SC2,2023-12-6,1,202
SC2,2023-12-6,2,208
SC2,2023-12-6,3,122
SC2,2023-12-6,4,94
SC2,2023-12-6,5,71
SC2,2023-12-6,6,52
SC2,2023-12-6,7,377
SC2,2023-12-6,8,502
SC2,2023-12-6,9,723
SC2,2023-12-6,10,612
SC2,2023-12-6,11,630
SC2,2023-12-6,12,592
SC2,2023-12-6,13,70
SC2,2023-12-6,14,802
SC2,2023-12-6,15,984
SC2,2023-12-6,16,980
SC2,2023-12-6,17,1041
SC2,2023-12-6,18,836
SC2,2023-12-6,19,163
SC2,2023-12-6,20,690
SC2,2023-12-6,21,822
SC2,2023-12-6,22,899
SC2,2023-12-6,23,683
SC2,2023-12-7,0,183
SC2,2023-12-7,1,202
SC2,2023-12-7,2,208
SC2,2023-12-7,3,122
SC2,2023-12-7,4,94
SC2,2023-12-7,5,71
SC2,2023-12-7,6,52
SC2,2023-12-7,7,377
SC2,2023-12-7,8,502
SC2,2023-12-7,9,723
SC2,2023-12-7,10,612
SC2,2023-12-7,11,630
SC2,2023-12-7,12,592
SC2,2023-12-7,13,70
SC2,2023-12-7,14,802
SC2,2023-12-7,15,984
SC2,2023-12-7,16,980
SC2,2023-12-7,17,1041
SC2,2023-12-7,18,836
SC2,2023-12-7,19,163
SC2,2023-12-7,20,690
SC2,2023-12-7,21,822
SC2,2023-12-7,22,899
SC2,2023-12-7,23,683
SC2,2023-12-8,0,175
SC2,2023-12-8,1,193
